decimalLongitude,decimalLatitude,presence,cropped_bioclim_stack,wc2.1_5m_bio_1,wc2.1_5m_bio_10,wc2.1_5m_bio_11,wc2.1_5m_bio_12,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_16,wc2.1_5m_bio_17,wc2.1_5m_bio_18,wc2.1_5m_bio_19,wc2.1_5m_bio_2,wc2.1_5m_bio_3,wc2.1_5m_bio_4,wc2.1_5m_bio_5,wc2.1_5m_bio_6,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9
-90.1720107658601,42.3805442307467,0,8.364957809448242,8.364957809448242,21.210500717163086,-5.914999961853027,880.0,109.0,30.0,38.464874267578125,310.0,104.0,310.0,104.0,11.376416206359863,27.379404067993164,1091.811279296875,28.57900047302246,-12.972000122070312,41.551002502441406,21.210500717163086,-5.914999961853027
-89.2418044419837,42.0998108901695,0,8.682958602905273,8.682958602905273,21.413665771484375,-5.386333465576172,913.0,113.0,29.0,36.36834716796875,315.0,114.0,315.0,114.0,11.394749641418457,27.79071617126465,1080.3619384765625,28.67300033569336,-12.329000473022461,41.00199890136719,21.413665771484375,-5.386333465576172
-91.0439387887027,39.7791863531021,0,11.275750160217285,11.275750160217285,23.423166275024414,-2.065666675567627,975.0,114.0,36.0,30.22055435180664,315.0,138.0,291.0,138.0,11.246000289916992,28.6041316986084,1023.628173828125,30.59200096130371,-8.723999977111816,39.316001892089844,21.285667419433594,-2.065666675567627
-89.9255879393802,40.9812587501675,0,9.973250389099121,9.973250389099121,22.447999954223633,-3.933666706085205,942.0,105.0,35.0,31.47854232788086,307.0,130.0,301.0,130.0,11.468500137329102,28.33897590637207,1063.1429443359375,29.69499969482422,-10.77400016784668,40.46900177001953,20.437000274658203,-3.933666706085205
-89.5845491033938,38.2099411916965,0,12.995833396911621,12.995833396911621,24.45716667175293,0.5770000219345093,1044.0,110.0,56.0,18.117137908935547,309.0,202.0,278.0,202.0,11.601999282836914,30.801496505737305,960.8305053710938,31.618000030517578,-6.048999786376953,37.66699981689453,12.814000129699707,0.5770000219345093
-88.3140404671116,38.2606670950742,0,12.954916954040527,12.954916954040527,24.321834564208984,0.5603333711624146,1116.0,122.0,64.0,20.1081485748291,350.0,228.0,281.0,228.0,11.79716682434082,31.427263259887695,956.6480102539062,31.57900047302246,-5.959000110626221,37.538002014160156,12.864666938781738,0.5603333711624146
-88.629294043845,39.7112282045937,0,11.334583282470703,11.334583282470703,23.185832977294922,-1.837166666984558,1006.0,111.0,50.0,23.065567016601562,315.0,177.0,303.0,177.0,11.525500297546387,29.767040252685547,1010.8931884765625,30.345998764038086,-8.373000144958496,38.718997955322266,21.28933334350586,-1.837166666984558
-88.9302935934513,38.7044758973675,0,12.31149959564209,12.31149959564209,23.917667388916016,-0.3900000751018524,1031.0,108.0,51.0,20.799121856689453,310.0,200.0,278.0,200.0,11.612166404724121,30.384023666381836,978.288818359375,31.15999984741211,-7.058000087738037,38.21799850463867,21.87350082397461,-0.3900000751018524
-90.2160001200474,42.3490164302007,0,8.364957809448242,8.364957809448242,21.210500717163086,-5.914999961853027,880.0,109.0,30.0,38.464874267578125,310.0,104.0,310.0,104.0,11.376416206359863,27.379404067993164,1091.811279296875,28.57900047302246,-12.972000122070312,41.551002502441406,21.210500717163086,-5.914999961853027
-89.1127888337195,38.3837058201761,0,12.662416458129883,12.662416458129883,24.210166931152344,0.09366659075021744,1052.0,112.0,55.0,19.14778709411621,319.0,207.0,270.0,207.0,11.48699951171875,30.299911499023438,970.8467407226562,31.34000015258789,-6.571000099182129,37.9109992980957,12.491000175476074,0.09366659075021744
-90.3131812096532,41.1117723997447,0,9.820083618164062,9.820083618164062,22.41983413696289,-4.259666442871094,957.0,111.0,34.0,33.931663513183594,323.0,126.0,322.0,126.0,11.225666999816895,27.900253295898438,1076.23095703125,29.316999435424805,-10.918000221252441,40.23500061035156,20.524333953857422,-4.259666442871094
-88.1876534779861,41.7613164320096,0,9.618208885192871,9.618208885192871,22.117666244506836,-3.9660000801086426,948.0,107.0,36.0,31.015026092529297,310.0,136.0,310.0,136.0,11.452583312988281,28.429609298706055,1049.2650146484375,29.566999435424805,-10.717000007629395,40.284000396728516,22.117666244506836,-3.9660000801086426
-89.383733910979,37.5022868671777,0,13.29800033569336,13.29800033569336,24.273500442504883,1.318666696548462,1187.0,125.0,75.0,17.067392349243164,360.0,258.0,291.0,260.0,11.302332878112793,30.888288497924805,923.0687255859375,31.268999099731445,-5.322000026702881,36.590999603271484,13.18066692352295,19.8353328704834
-89.9058927481641,42.0704693305058,0,8.502750396728516,8.502750396728516,21.19766616821289,-5.713833332061768,948.0,118.0,35.0,36.37322235107422,324.0,121.0,324.0,121.0,11.94766616821289,28.792333602905273,1086.419189453125,28.61400032043457,-12.881999969482422,41.496002197265625,21.19766616821289,-5.713833332061768
-90.1368799317188,41.8773289617932,0,9.228500366210938,9.228500366210938,22.078332901000977,-5.053333282470703,930.0,117.0,35.0,36.31842803955078,323.0,121.0,323.0,121.0,11.21583366394043,27.151063919067383,1093.6748046875,29.22599983215332,-12.083000183105469,41.308998107910156,22.078332901000977,-5.053333282470703
